ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
51,VIRGINIA,VA,Madison,51113,"Madison County, Virginia",320.6375175,13139,0,6053,46,5078,236,1070,359,351,172,30351,3207,1230,221,2769,130,2727,45,1681,320,234,103,1999,14,46,86,64,65,206,107,148,110,206,110,228,93,8.3,2.8,5.5,2.6,30351.0,3207.0,13.0,2.3,21.1,1.0,20.8,0.3,13.0,2.5,4.6,2.0,15.2,0.1,0.4,0.7,1.1,1.1,3.4,1.8,2.9,2.2,4.1,2.1,1.7,0.7,0.1818,0.5379,0.4091,0.4394,1.5682,0.3258,0.7348,0.6061,0.3106,0.0833,1.7348,0.25,0.3106,0.3258,0.6364,0.2879,0.1591,0.3636,0.8939,0.2348,0.4242,2.0756,0.303,6.015,0.2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635,359,12.6,2.8,8539
51,VIRGINIA,VA,York,51199,"York County, Virginia",104.6019044,67587,0,27646,194,24617,405,3101,571,1942,281,39071,918,2555,353,10313,102,16264,73,7612,640,2212,346,19347,116,993,330,2559,326,412,126,328,130,542,149,1282,486,4.7,0.9,6.0,0.9,39071.0,918.0,5.6,0.8,15.3,0.2,24.1,0.1,11.9,1.0,9.0,1.4,28.6,0.2,1.6,0.5,9.3,1.2,1.5,0.5,1.3,0.5,2.2,0.6,1.9,0.7,0.0303,0.6439,0.1288,0.0303,0.8333,0.1591,0.2424,0.8788,0.2348,0.6894,2.0454,0.5455,0.5379,0.7576,1.2955,0.7045,0.7273,0.2576,0.4167,0.0303,0.4621,1.894,0.197,6.0682,0.2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3294,673,5.1,1.0,55902
51,VIRGINIA,VA,Alexandria City,51510,"Alexandria city, Virginia",14.9331508,156505,0,76105,129,69979,585,16432,1408,3244,425,59239,1069,8872,698,16943,47,28663,126,10791,739,4184,412,75455,120,8377,809,39566,1042,38,46,3107,386,6410,518,1530,245,10.6,0.9,3.3,0.4,59239.0,1069.0,7.5,0.6,10.8,0.1,18.3,0.1,7.0,0.5,6.0,0.6,48.2,0.1,5.8,0.6,52.0,1.4,0.0,0.1,4.4,0.6,9.2,0.7,1.0,0.2,0.3712,0.1212,0.0152,0.1061,0.6137,0.0909,0.0833,0.2273,0.0303,0.2273,0.5682,0.0227,0.8485,0.9621,1.8106,0.9621,0.9924,0.0,1.0,0.8106,0.2803,3.0833,0.7576,6.0758,0.25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,18992,1461,12.4,1.0,133706
51,VIRGINIA,VA,Chesterfield,51041,"Chesterfield County, Virginia",423.5668064,339447,0,129208,226,123010,632,23815,1812,9002,794,36641,483,18045,858,47282,49,81792,54,35500,1398,11334,792,127819,250,7545,713,10410,730,1632,262,1764,306,3667,401,3722,366,7.1,0.5,4.9,0.4,36641.0,483.0,7.9,0.4,13.9,0.1,24.1,0.0,10.5,0.4,9.2,0.6,37.7,0.1,2.4,0.2,8.1,0.6,1.3,0.2,1.4,0.2,3.0,0.3,1.1,0.1,0.1212,0.4091,0.1742,0.1515,0.856,0.1742,0.1742,0.8788,0.1288,0.7197,1.9015,0.4545,0.6667,0.8712,1.5379,0.8333,0.6894,0.2197,0.4621,0.1061,0.3182,1.7955,0.1591,6.0909,0.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25579,1474,7.6,0.4,293881
51,VIRGINIA,VA,Frederick,51069,"Frederick County, Virginia",413.1683834,85153,0,33594,115,30973,452,5225,797,1639,324,33961,992,6654,681,13804,119,19784,38,9779,733,2313,335,13705,64,1337,262,1585,250,2090,297,601,184,1066,241,1311,277,6.2,1.0,3.7,0.7,33961.0,992.0,11.4,1.2,16.2,0.1,23.2,0.0,11.7,0.9,7.5,1.1,16.1,0.1,1.7,0.3,4.7,0.7,6.2,0.9,1.9,0.6,3.4,0.8,1.5,0.3,0.0985,0.1667,0.2652,0.3712,0.9016,0.1894,0.3182,0.8258,0.2197,0.4394,1.8031,0.3485,0.3258,0.7727,1.0985,0.5606,0.5682,0.4621,0.7273,0.1515,0.3939,2.303,0.4394,6.1062,0.2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8291,779,9.9,0.9,71922
51,VIRGINIA,VA,Bath,51017,"Bath County, Virginia",529.2014615,4393,0,3302,276,1999,191,486,209,201,123,29127,5850,434,150,865,210,713,149,722,247,93,95,360,154,10,50,143,119,346,172,20,23,55,53,175,107,11.3,4.8,8.8,5.3,29127.0,5850.0,12.8,4.4,19.7,4.8,16.2,3.4,16.7,5.7,4.7,4.8,8.2,3.5,0.2,1.2,4.3,3.6,10.5,5.1,1.0,1.2,2.8,2.5,4.0,2.4,0.4015,0.9318,0.4545,0.4318,2.2196,0.5833,0.5379,0.0909,0.6591,0.1061,1.394,0.1288,0.1439,0.1591,0.303,0.0985,0.5303,0.5909,0.2803,0.0833,0.7197,2.2045,0.3864,6.1211,0.2727,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,662,231,15.3,5.3,3860
51,VIRGINIA,VA,Virginia Beach City,51810,"Virginia Beach city, Virginia",244.7239175,450135,0,183906,455,169290,882,33485,2049,11221,869,36268,516,20860,1191,59534,44,101052,0,46125,1400,16670,907,170847,172,5640,841,19905,1012,1934,250,2076,319,6906,659,10530,1076,7.6,0.5,4.9,0.4,36268.0,516.0,6.8,0.4,13.2,0.1,22.4,0.0,10.9,0.3,9.8,0.5,38.0,0.0,1.3,0.2,10.8,0.5,1.1,0.1,1.2,0.2,4.1,0.4,2.3,0.2,0.1439,0.4091,0.1894,0.0682,0.8106,0.1439,0.1515,0.7576,0.1667,0.7652,1.841,0.3788,0.6818,0.7197,1.4015,0.7424,0.7803,0.1894,0.3788,0.2348,0.5152,2.0985,0.3333,6.1516,0.2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34891,1619,8.2,0.4,362393
51,VIRGINIA,VA,Fairfax,51059,"Fairfax County, Virginia",390.9994371,1143529,0,412574,333,394447,1221,69895,3526,26682,1241,54725,477,61178,2275,144212,29,270503,0,80046,1849,25006,1065,557568,472,71423,2407,93096,1549,2296,228,13270,812,17120,771,9101,660,6.2,0.3,4.2,0.2,54725.0,477.0,7.9,0.3,12.6,0.1,23.7,0.0,7.1,0.2,6.3,0.3,48.8,0.0,6.7,0.2,22.6,0.4,0.6,0.1,3.4,0.2,4.3,0.2,0.8,0.1,0.0985,0.303,0.0227,0.1515,0.5757,0.0758,0.1364,0.8636,0.0379,0.2803,1.3182,0.1212,0.8561,0.9773,1.8334,0.9697,0.9621,0.0985,0.9394,0.2803,0.2045,2.4848,0.5227,6.2121,0.2879,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,97443,3297,8.6,0.3,944610
51,VIRGINIA,VA,Lexington City,51678,"Lexington city, Virginia",2.499239,7110,0,2312,281,1984,236,826,247,99,70,17762,2680,277,118,1114,218,627,143,865,228,84,53,1272,281,0,68,266,151,15,24,0,24,189,117,3290,376,21.6,6.0,4.2,3.0,17762.0,2680.0,10.0,3.9,15.7,3.1,8.8,2.0,13.8,3.5,4.2,2.7,17.9,4.0,0.0,1.0,11.5,6.4,0.6,1.0,0.0,1.2,9.5,5.5,46.3,5.3,0.8561,0.303,0.9924,0.2652,2.4167,0.6439,0.2803,0.0,0.3864,0.0455,0.7122,0.0303,0.3561,0.0,0.3561,0.1364,0.803,0.0985,0.0,0.8333,1.0,2.7348,0.6439,6.2198,0.2955,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,351,176,5.6,2.8,12057
51,VIRGINIA,VA,Fairfax City,51600,"Fairfax city, Virginia",6.240462,23865,0,8906,61,8553,170,2018,337,535,142,47047,2155,1146,225,3436,89,5426,0,1686,277,303,106,10313,35,1127,239,1780,226,0,22,221,101,538,188,624,138,8.7,1.4,4.0,1.1,47047.0,2155.0,7.0,1.4,14.4,0.4,22.7,0.0,7.2,1.2,3.5,1.2,43.2,0.1,5.1,1.1,20.0,2.5,0.0,0.4,2.6,1.2,6.3,2.2,2.6,0.6,0.2424,0.2576,0.0455,0.0833,0.6288,0.0985,0.197,0.7727,0.0455,0.0152,1.0304,0.0606,0.7955,0.947,1.7425,0.9545,0.9242,0.0,0.8561,0.5303,0.5606,2.8712,0.7045,6.2729,0.303,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1868,407,8.0,1.8,30199
