ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
51,VIRGINIA,VA,51710,Norfolk City,51710006606,"Census Tract 66.06, Norfolk city, Virginia",0.825598431682,3967,387,1789,76,1627,111,454,177,80,52,31568,5481,278,126,576,84,822,261,595,171,135,98,2399,455,41,69,71,46,28,22,75,69,92,56,9,4,11.4,4.4,4.3,2.7,31568.0,5481.0,9.9,4.1,14.5,2.5,20.7,6.3,15.6,4.3,8.3,6.0,60.5,9.8,1.1,1.9,4.0,2.6,1.6,1.2,4.6,4.3,5.7,3.4,0.2,0.1,0.6006,0.4557,0.5451,0.512,2.1134,0.5463,0.4737,0.4263,0.7417,0.6014,2.2431,0.6446,0.8175,0.5263,1.3438,0.728,0.4939,0.6382,0.8813,0.6103,0.5636,3.1873,0.8649,8.8876,0.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,184,7.7,4.9,2164
51,VIRGINIA,VA,51710,Norfolk City,51710006607,"Census Tract 66.07, Norfolk city, Virginia",0.776577377354,3208,350,1179,50,1158,56,366,311,106,86,27415,3697,199,101,538,109,660,253,309,113,137,94,1554,490,37,62,95,77,0,12,0,17,19,23,11,8,11.4,9.2,6.5,5.3,27415.0,3697.0,8.8,4.2,16.8,3.6,20.6,7.6,9.8,3.6,11.8,8.1,48.4,14.3,1.2,2.1,8.1,6.6,0.0,2.7,0.0,1.5,1.6,2.0,0.3,0.2,0.6006,0.7252,0.6779,0.4534,2.4571,0.656,0.5961,0.4204,0.3842,0.7903,2.191,0.6094,0.6913,0.5428,1.2341,0.6605,0.6152,0.0,0.0,0.22,0.6221,1.4573,0.2285,7.3395,0.5404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,143,9.7,4.5,1309
51,VIRGINIA,VA,51710,Norfolk City,51710006800,"Census Tract 68, Norfolk city, Virginia",1.089298375642,1790,146,690,22,642,45,185,109,17,19,28917,3373,162,70,239,37,348,62,343,90,65,45,699,226,25,57,0,17,16,23,0,17,11,12,6,4,10.3,6.1,1.8,2.0,28917.0,3373.0,12.4,5.4,13.4,2.1,19.4,3.1,19.5,5.1,10.1,7.1,39.1,12.2,1.5,3.4,0.0,2.5,2.3,3.3,0.0,2.6,1.7,1.8,0.3,0.2,0.5542,0.1041,0.6283,0.6205,1.9071,0.4837,0.4247,0.3204,0.8757,0.7094,2.3302,0.6969,0.5785,0.5971,1.1756,0.6269,0.0,0.674,0.0,0.2355,0.6221,1.5316,0.2483,6.9445,0.4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,86,9.5,4.8,5830
51,VIRGINIA,VA,51710,Norfolk City,51710006901,"Census Tract 69.01, Norfolk city, Virginia",1.659666010734,3609,369,1440,71,1375,95,276,120,147,80,27619,3016,298,168,337,107,855,148,357,125,174,104,2651,468,50,65,81,40,54,50,22,29,160,80,41,52,7.9,3.6,7.3,3.7,27619.0,3016.0,13.0,6.8,9.3,2.9,23.7,3.3,10.4,3.5,12.7,7.5,73.5,10.6,1.5,1.9,5.6,2.8,3.8,3.5,1.6,2.1,11.6,5.7,1.1,1.4,0.4437,0.7839,0.6704,0.645,2.543,0.6827,0.2198,0.6487,0.4253,0.8249,2.1187,0.5662,0.9026,0.5971,1.4997,0.81,0.5482,0.722,0.6003,0.8281,0.7632,3.4618,0.9231,9.6232,0.8614,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,529,295,15.4,8.5,16592
51,VIRGINIA,VA,51710,Norfolk City,51710006902,"Census Tract 69.02, Norfolk city, Virginia",1.019593837174,2863,306,1083,52,1034,63,352,190,52,44,32825,4599,339,150,499,142,431,117,373,160,61,52,1188,385,39,56,75,57,0,12,12,26,47,40,336,170,13.1,6.0,3.8,3.0,32825.0,4599.0,16.2,6.4,17.4,4.4,15.1,3.8,14.6,5.6,5.9,5.0,41.5,12.7,1.4,2.1,6.9,5.3,0.0,3.0,1.2,2.6,4.5,3.8,11.7,5.8,0.6615,0.3821,0.5184,0.7536,2.3156,0.6121,0.6376,0.1176,0.6921,0.4055,1.8528,0.3879,0.6078,0.5796,1.1874,0.6344,0.5806,0.0,0.5184,0.519,0.9393,2.5573,0.6273,7.9131,0.6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,323,164,12.7,5.9,3453
51,VIRGINIA,VA,51710,Norfolk City,51710007001,"Census Tract 70.01, Norfolk city, Virginia",0.632038163144,1803,263,704,33,619,60,129,93,25,26,23987,3915,130,94,97,67,291,123,211,100,49,40,1357,325,22,60,220,116,0,12,0,17,19,19,66,59,7.2,4.8,2.4,2.5,23987.0,3915.0,12.0,7.7,5.4,3.5,16.1,6.4,12.7,5.0,7.9,6.5,75.3,14.3,1.3,3.6,31.3,16.4,0.0,4.5,0.0,2.7,3.1,2.9,3.7,3.2,0.4031,0.183,0.7829,0.6046,1.9736,0.5029,0.0708,0.1464,0.5752,0.5668,1.3592,0.1339,0.9101,0.5609,1.471,0.7946,0.8808,0.0,0.0,0.3946,0.8733,2.1487,0.4645,6.9525,0.4826,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,237,150,14.3,7.8,3502
51,VIRGINIA,VA,51710,Norfolk City,51710007002,"Census Tract 70.02, Norfolk city, Virginia",1.068700992248,3773,499,1572,93,1462,129,575,329,262,124,32726,6989,270,115,763,126,727,343,548,118,178,104,2766,529,34,70,293,97,78,86,66,77,113,67,0,12,15.3,8.0,13.9,5.6,32726.0,6989.0,10.5,4.5,20.2,3.7,19.3,8.7,14.8,3.5,12.2,7.1,73.3,10.1,1.0,2.0,18.6,6.1,5.0,5.3,4.5,5.3,7.7,4.6,0.0,0.3,0.7181,0.9685,0.5205,0.5402,2.7473,0.7453,0.7717,0.3124,0.7022,0.8068,2.5931,0.8362,0.901,0.5077,1.4087,0.7669,0.7786,0.7417,0.8755,0.7037,0.0,3.0995,0.8302,9.8486,0.885,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,502,222,13.6,5.6,4147
51,VIRGINIA,VA,51710,Norfolk City,51710980100,"Census Tract 9801, Norfolk city, Virginia",0.902258983782,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,379
51,VIRGINIA,VA,51710,Norfolk City,51710980200,"Census Tract 9802, Norfolk city, Virginia",0.859249923696,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,6698
51,VIRGINIA,VA,51710,Norfolk City,51710980300,"Census Tract 9803, Norfolk city, Virginia",1.934231251076,0,12,0,12,0,12,0,12,0,12,-999,-999,0,12,0,12,0,12,0,12,0,17,0,17,0,48,0,17,0,12,0,17,0,12,0,12,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,12,-999.0,-999.0,2585
